letter,ipa,romaji,group,substitute
m,m,m,consonants,
p,p,p,consonants,
b,b,b,consonants,
f,f,f,consonants,
n,n,n,consonants,
ts,ts,ts,consonants,
dz,dz,dz,consonants,
t,t,t,consonants,
d,d,d,consonants,
s,s,s,consonants,
z,z,z,consonants,
zy,dʒ,j,consonants,
r,ɾ,r,consonants,
sy,ʃ,sh,consonants,
ty,tʃ,ch,consonants,
k,k,k,consonants,
g,ɡ,g,consonants,
w,w,w,consonants,
y,j,y,consonants,
h,h,h,consonants,
m,m,m,consonants,
n,n,n,consonants,
ky,kʲ,ky,consonants,
py,pʲ,py,consonants,
a,a,a,vowels,u|i
i,i,i,vowels,a|u
u,ɯ,u,vowels,i|a
e,e,e,vowels,o
o,o,o,vowels,e
N,ɴ,n,finals,
Q,ʔ,Q,finals,
ii,iː,ii,vowels,a|u
oo,oː,oo,vowels,e
uu,ɯː,uu,vowels,i|a
aa,aː,aa,vowels,u|i
ee,eː,ee,vowels,o
Qt,tː,tt,consonants,
Qp,pː,pp,consonants,
Qk,kː,kk,consonants,
Qd,dː,dd,consonants,
Qb,bː,bb,consonants,
Qg,gː,gg,consonants,
