form,iconic,item,concept,meaning,no_foils
yoroyoro,y,practice,WOBBLING,WOBBLING,
fuwafuwa,y,practice,SOFT,FLUFFY,
katai,n,control,HARD,HARD,
pyoNpyoN,y,control,HOPPING,BOUNCING|HOPPING,
hisohiso,y,control,WHISPERING,WHISPERING,
zarazara,y,trial,ROUGH,ROUGH|GRITTY|COARSE,
nebaneba,y,trial,STICKY,STICKY|GOOEY,
yakiyaki,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,
hetoheto,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,kutakuta
zuruNzuruN,y,trial,SLIMY,SLIMY|GOOEY,nurunuru
kutakuta,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,hetoheto
nurunuru,y,trial,SLIMY,SLIMY|SLIPPERY|SLICK,zuruNzuruN
zoNzoN,y,trial,SHIVERING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),
zyiNzyiN,y,trial,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),
tyiQtyai,y,trial,SMALL,SMALL|LITTLE|TINY,kyuukutsuka
suu,y,trial,SUCK,SUCK,
ookii,y,trial,BIG,BIG|MASSIVE|LARGE|HUGE,
kiiN,y,trial,RINGING,RINGING (e.g. a ringing sound in your ears),
kiree,y,trial,CLEAN,CLEAN|TIDY,
geNki,n,trial,LIVELY (ENERGETIC),LIVELY|ENERGETIC,
saku,y,trial,TEAR,TEAR|RIP,
semai,y,trial,CRAMPED,CRAMPED|TIGHT,tyiQtyai
kosui,n,trial,CUNNING,CUNNING|SLY|SNEAKY,
motyokoi,y,trial,TICKLING,TICKLING,
iQpai,y,trial,FULL (TO THE BRIM),FULL (to the brim)|FULL (to bursting),
maNpuku,n,trial,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),
kyuukutsuka,y,trial,TIGHT,TIGHT|PINCHING,tyiQtyai
boNyari,y,trial,FUZZY,FUZZY|BLURRY|HAZY,
yagurasyika,y,trial,NOISY,LOUD|NOISY,yakamasyii
yakamasyii,y,trial,NOISY,LOUD|NOISY,yagurasyika
