form,item,meaning,no_foils
honnori,practice,wafting,
chirahora,practice,skattered,
kebakeba,trial,fuzzy|frizzy|frazzled,
nikoniko-nomosaic,trial,smiling|beaming|grinning,
hiyahiya,trial,relieved|close call|phew,
harahara,trial,fluttering|drifting|sinking,
buruburu,trial,shaking|trembling|shivering,
buruburu,trial,cold|chilly|freezing,
korokoro,trial,rolling|turning|spinning,
korokoro2,trial,round|circular|curved,
berabera,trial,blabbing on |prattling on|chattering,
berabera2,trial,tearing|shredding|ripping,
boroboro,trial,sloppily|crumbling|messily,
morimori,trial,muscly|buff|bulky,
morimori2,trial,gobbling|gorging (on food)|pigging out,
morimori3,trial,lumpy|in a mound|piled up,
ujauja,trial,squirming|wriggling|fidgety,
mojimoji,trial,restless|fidgety|squirming,
gokugoku,trial,gulping|guzzling|drinking,
kirakira,trial,sparkling|glittering|twinkling,
ukiuki,trial,excited|cheerful|upbeat,
sekaseka,trial,rushing|hurried|flustered,
chikuchiku,trial,prickling|stinging|tingling,
bukubuku,trial,chubby|pudgy|fat,debudebu
bukubuku2,trial,round|swollen|bloated,bukubuku
debudebu,trial,fat|pudgy|dumpy,bukubuku
hisohiso,trial,whispering|hushed|quietly,
kachikachi,trial,hard|solid|firm,
gayagaya,trial,loud|hubbub|noisy,
gojagoja,trial,jumbled up|mixed up|muddled up,gojagoja2
gojagoja2,trial,jumbled up|mixed up|muddled up,gojagoja
hokahoka,trial,steaming hot|piping hot|scalding hot,
fuwafuwa,trial,fluffy|spongy|soft,
betabeta,trial,sticky|gummy|gooey,
dokidoki,trial,anxious|afraid|nervous,
wakuwaku,trial,excited|cheerful|upbeat,
wanwan,trial,crying|bawling|howling,
nurunuru,trial,slimy|slippery|greasy,
kankan,trial,blazing|bright|dazzling,sansan
sansan,trial,blazing|bright|dazzling,kankan
kankan2,trial,angry|furious|mad,
kankan3,trial,clanging|clamoring|banging,
honnori,trial,faintly|slightly|subtly,
shikkari,trial,tightly|firmly|securely,
gizagiza,trial,zig-zag|jagged|sharp edged,
kunekune,trial,winding|twisting|twirling,
chirahora,trial,here and there|to and fro|skattered,
